staff_id,one,two,three,four,five,six,seven
CSE110,0,0,0,0,0,0,0
CSE111,0,0,0,0,0,0,0
CSE112,0,0,0,0,0,0,0
CSE113,0,0,0,0,0,0,0
CSE114,0,0,0,0,0,0,0
CSE115,0,0,0,0,0,0,0
CSE116,0,0,0,0,0,0,0
CSE117,0,0,0,0,0,0,0
CSE118,0,0,0,0,0,0,0
CSE119,0,0,0,0,0,0,0
CSE120,0,0,0,0,0,0,0
CSE121,0,0,0,0,0,0,0
CSE122,0,0,0,0,0,0,0
CSE123,0,0,0,0,0,0,0
CSE124,0,0,0,0,0,0,0
CSE125,0,0,0,0,0,0,0
CSE126,0,0,0,0,0,0,0
CSE127,0,0,0,0,0,0,0
CSE128,0,0,0,0,0,0,0
CSE129,0,0,0,0,0,0,0
CSE130,0,0,0,0,0,0,0
CSE131,0,0,0,0,0,0,0
CSE132,0,0,0,0,0,0,0
CSE133,0,0,0,0,0,0,0
CSE134,0,0,0,0,0,0,0
CSE135,0,0,0,0,0,0,0
CSE136,0,0,0,0,0,0,0
CSE137,0,0,0,0,0,0,0
CSE138,0,0,0,0,0,0,0
CSE139,0,0,0,0,0,0,0
CSE140,0,0,0,0,0,0,0
CSE141,0,0,0,0,0,0,0
PHY301,0,0,0,0,0,0,0
PHY302,0,0,0,0,0,0,0
PHY303,0,0,0,0,0,0,0
PHY304,0,0,0,0,0,0,0
PHY305,0,0,0,0,0,0,0
PHY306,0,0,0,0,0,0,0
PHY307,0,0,0,0,0,0,0
MATH201,0,0,0,0,0,0,0
MATH202,0,0,0,0,0,0,0
MATH203,0,0,0,0,0,0,0
MATH204,0,0,0,0,0,0,0
MATH205,0,0,0,0,0,0,0
MATH206,0,0,0,0,0,0,0
CHEM401,0,0,0,0,0,0,0
CHEM402,0,0,0,0,0,0,0
CHEM403,0,0,0,0,0,0,0
CHEM404,0,0,0,0,0,0,0
CHEM405,0,0,0,0,0,0,0
CHEM406,0,0,0,0,0,0,0
ENG501,0,0,0,0,0,0,0
ENG502,0,0,0,0,0,0,0
ENG503,0,0,0,0,0,0,0
ENG504,0,0,0,0,0,0,0
ENG505,0,0,0,0,0,0,0
ENG506,0,0,0,0,0,0,0
ECE601,0,0,0,0,0,0,0
ECE602,0,0,0,0,0,0,0
ECE603,0,0,0,0,0,0,0
EEE701,0,0,0,0,0,0,0
EEE702,0,0,0,0,0,0,0
EEE703,0,0,0,0,0,0,0
